# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.58%  countwords_par_  libicuuc.so.72.1           [.] icu_72::CharString::append(char, UErrorCode&)
     0.58%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::fastCopyFrom(icu_72::UnicodeString const&)
     0.53%  countwords_par_  libc.so.6                  [.] _int_free_merge_chunk
     0.52%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::doAppend(char16_t const*, int, int)
     0.50%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::PropertiesAffixPatternProvider::setTo(icu_72::number::impl::DecimalFormatProperties const&, UErrorCode&)
     0.46%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::~MeasureUnit()
     0.45%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::touch(UErrorCode&)
     0.44%  countwords_par_  libicuuc.so.72.1           [.] icu_72::CharString::ensureCapacity(int, int, UErrorCode&)
     0.44%  countwords_par_  libicuuc.so.72.1           [.] u_strFromUTF8WithSub_72
     0.44%  countwords_par_  libstdc++.so.6.0.32        [.] __dynamic_cast
     0.43%  countwords_par_  libc.so.6                  [.] unlink_chunk.isra.0
     0.43%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::initCurrency(icu_72::StringPiece)
     0.41%  countwords_par_  libicuuc.so.72.1           [.] umtx_lock_72
     0.39%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::~Locale()
     0.39%  countwords_par_  libicuuc.so.72.1           [.] uprv_free_72
