# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu-clock:ppp'
# Event count (approx.): 2639250000
#
# Overhead  Command          Shared Object              Symbol
# ........  ...............  .........................  ...................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.06%  countwords_par_  libicuuc.so.72.1           [.] uprv_min_72
     0.06%  countwords_par_  libicuuc.so.72.1           [.] ures_getStringByIndex_72
     0.06%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fc20
     0.06%  countwords_par_  libstdc++.so.6.0.32        [.] std::filesystem::__cxx11::path::_List::_Impl_deleter::operator()(std::filesystem::__cxx11::path::_List::_Impl*) const
     0.06%  countwords_par_  libstdc++.so.6.0.32        [.] std::locale::~locale()
     0.05%  countwords_par_  [kernel.kallsyms]          [k] __get_user_8
     0.05%  countwords_par_  [kernel.kallsyms]          [k] _copy_to_iter
     0.05%  countwords_par_  [kernel.kallsyms]          [k] generic_permission
     0.05%  countwords_par_  [kernel.kallsyms]          [k] kmem_cache_alloc
     0.05%  countwords_par_  [vdso]                     [.] __vdso_gettimeofday
     0.05%  countwords_par_  libc.so.6                  [.] __GI___fcntl64_nocancel
     0.05%  countwords_par_  libc.so.6                  [.] getenv
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::Calendar::setTimeInMillis(double, UErrorCode&)
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::CurrencyUnit::CurrencyUnit(icu_72::CurrencyUnit const&)
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::GregorianCalendar::defaultCenturyStart() const
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::GregorianCalendar::haveDefaultCentury() const
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::OlsonTimeZone::deleteTransitionRules()
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::SimpleDateFormat(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&, UErrorCode&)
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleTimeZone::operator=(icu_72::SimpleTimeZone const&)
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::TimeZone::createDefault()
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::Scale::Scale(icu_72::number::Scale const&)
     0.05%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::SymbolsWrapper::setTo(icu_72::DecimalFormatSymbols const&)
     0.05%  countwords_par_  libicui18n.so.72.1         [.] strcmp@plt
     0.05%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000001163b0
     0.05%  countwords_par_  libicuuc.so.72.1           [.] icu_72::CheckedArrayByteSink::~CheckedArrayByteSink()
     0.05%  countwords_par_  libicuuc.so.72.1           [.] icu_72::LocaleBased::setLocaleIDs(icu_72::Locale const&, icu_72::Locale const&)
     0.05%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::operator=(icu_72::UnicodeString&&)
     0.05%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::setTo(signed char, icu_72::ConstChar16Ptr, int)
     0.05%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::_computeCountOfItemsToEvict() const
     0.05%  countwords_par_  libicuuc.so.72.1           [.] memcpy@plt
     0.05%  countwords_par_  libicuuc.so.72.1           [.] uprv_getUTCtime_72
     0.05%  countwords_par_  libicuuc.so.72.1           [.] ures_getLocaleByType_72
     0.05%  countwords_par_  libicuuc.so.72.1           [.] ures_getString_72
     0.05%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010548e
     0.05%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010a946
     0.05%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000013560c
     0.05%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000136649
     0.05%  countwords_par_  libstdc++.so.6.0.32        [.] operator new(unsigned long)
     0.05%  countwords_par_  libstdc++.so.6.0.32        [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::reserve(unsigned long)
     0.04%  countwords_par_  [kernel.kallsyms]          [k] aa_audit_file
     0.04%  countwords_par_  [kernel.kallsyms]          [k] clear_page_orig
     0.04%  countwords_par_  [kernel.kallsyms]          [k] copyout
     0.04%  countwords_par_  [kernel.kallsyms]          [k] ext4_match
     0.04%  countwords_par_  [kernel.kallsyms]          [k] ext4_search_dir
     0.04%  countwords_par_  [kernel.kallsyms]          [k] prepend_copy
     0.04%  countwords_par_  [vdso]                     [.] 0x0000000000000830
     0.04%  countwords_par_  [vdso]                     [.] 0x0000000000000831
     0.04%  countwords_par_  [vdso]                     [.] 0x000000000000086c
     0.04%  countwords_par_  countwords_par_proftools   [.] tbb::detail::d1::segment_table<std::atomic<tbb::detail::d1::list_node<unsigned long>*>, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, tbb::detail::d1::concurrent_unordered_base<tbb::detail::d1::concurrent_unordered_map_traits<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> >, false> >::unordered_segment_table, 63ul>::clear()
     0.04%  countwords_par_  countwords_par_proftools   [.] void tbb::detail::d2::concurrent_queue<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > > > >::internal_push<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > > const&>(tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > > const&)
     0.04%  countwords_par_  libc.so.6                  [.] malloc_consolidate
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::CurrencyUnit::CurrencyUnit()
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::GregorianCalendar::clone() const
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::MeasureUnit::MeasureUnit(icu_72::MeasureUnit&&)
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::NumberFormat::NumberFormat(icu_72::NumberFormat const&)
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::NumberFormat::setMinimumFractionDigits(int)
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UMemory::operator delete[](void*)@plt
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::DecimalFormatProperties::DecimalFormatProperties()
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::StringProp::StringProp(icu_72::number::impl::StringProp const&)
     0.04%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::StringProp::operator=(icu_72::number::impl::StringProp const&)
     0.04%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000152210
     0.04%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000152344
     0.04%  countwords_par_  libicuuc.so.72.1           [.] icu_72::CheckedArrayByteSink::Append(char const*, int)
     0.04%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::initBaseName(UErrorCode&)
     0.04%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnicodeString::UnicodeString(signed char, icu_72::ConstChar16Ptr, int)
     0.04%  countwords_par_  libicuuc.so.72.1           [.] locale_getKeywordsStart_72
     0.04%  countwords_par_  libicuuc.so.72.1           [.] u_strncpy_72
     0.04%  countwords_par_  libicuuc.so.72.1           [.] ucnv_close_72
     0.04%  countwords_par_  libicuuc.so.72.1           [.] uhash_get_72
     0.04%  countwords_par_  libicuuc.so.72.1           [.] uloc_getBaseName_72
     0.04%  countwords_par_  libicuuc.so.72.1           [.] ures_getStringByKey_72
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010557b
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010a910
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010ce97
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fbd0
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000013157d
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000013159f
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000013160f
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000013219f
     0.04%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000136482
     0.04%  countwords_par_  libstdc++.so.6.0.32        [.] std::locale::id::_M_id() const
     0.03%  countwords_par_  [kernel.kallsyms]          [k] __check_heap_object
     0.03%  countwords_par_  [kernel.kallsyms]          [k] __ext4_find_entry
     0.03%  countwords_par_  [kernel.kallsyms]          [k] __fget_light
     0.03%  countwords_par_  [kernel.kallsyms]          [k] __rcu_read_lock
     0.03%  countwords_par_  [kernel.kallsyms]          [k] __virt_addr_valid
     0.03%  countwords_par_  [kernel.kallsyms]          [k] _raw_spin_trylock
     0.03%  countwords_par_  [kernel.kallsyms]          [k] aa_get_buffer
     0.03%  countwords_par_  [kernel.kallsyms]          [k] copy_from_kernel_nofault_allowed
     0.03%  countwords_par_  [kernel.kallsyms]          [k] do_user_addr_fault
     0.03%  countwords_par_  [kernel.kallsyms]          [k] filldir64
     0.03%  countwords_par_  [kernel.kallsyms]          [k] fput
     0.03%  countwords_par_  [kernel.kallsyms]          [k] getname_flags.part.0
     0.03%  countwords_par_  [kernel.kallsyms]          [k] inode_permission
     0.03%  countwords_par_  [kernel.kallsyms]          [k] memcg_slab_post_alloc_hook
     0.03%  countwords_par_  [kernel.kallsyms]          [k] xas_load
     0.03%  countwords_par_  ld-linux-x86-64.so.2       [.] do_lookup_x
     0.03%  countwords_par_  libboost_locale.so.1.74.0  [.] boost::locale::localization_backend_manager::~localization_backend_manager()
     0.03%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e590
     0.03%  countwords_par_  libc.so.6                  [.] __memchr_avx2
     0.03%  countwords_par_  libc.so.6                  [.] pthread_getspecific@@GLIBC_2.34
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::Calendar::~Calendar()
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormatSymbols::~DateFormatSymbols()
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::clone() const
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::setGroupingUsed(signed char)
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::setMinimumFractionDigits(int)
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::toNumberFormatter(UErrorCode&) const
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::GregorianCalendar::defaultCenturyStartYear() const
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::GregorianCalendar::getType() const
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::NumberFormat::createInstance(icu_72::Locale const&, UErrorCode&)
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::NumberFormat::setMaximumIntegerDigits(int)
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::initializeDefaultCentury()
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::StringPiece::StringPiece(char const*)@plt
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::StringPiece::compare(icu_72::StringPiece)@plt
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UObject::~UObject()@plt
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::Precision::constructFraction(int, int)
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::DecimalFormatProperties::equalsDefaultExceptFastFormat() const
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::PropertiesAffixPatternProvider::hasCurrencySign() const
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::SymbolsWrapper::SymbolsWrapper(icu_72::number::impl::SymbolsWrapper const&)
     0.03%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::SymbolsWrapper::operator=(icu_72::number::impl::SymbolsWrapper&&)
     0.03%  countwords_par_  libicui18n.so.72.1         [.] u_UCharsToChars_72@plt
     0.03%  countwords_par_  libicui18n.so.72.1         [.] uprv_max_72@plt
     0.03%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000151acf
     0.03%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000151ae6
     0.03%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000151afb
     0.03%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000160685
     0.03%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000001613f0
     0.03%  countwords_par_  libicuuc.so.72.1           [.] icu_72::CheckedArrayByteSink::CheckedArrayByteSink(char*, int)
     0.03%  countwords_par_  libicuuc.so.72.1           [.] icu_72::Locale::getKeywordValue(char const*, char*, int, UErrorCode&) const
     0.03%  countwords_par_  libicuuc.so.72.1           [.] icu_72::LocaleBased::getLocale(ULocDataLocaleType, UErrorCode&) const
     0.03%  countwords_par_  libicuuc.so.72.1           [.] icu_72::UnifiedCache::removeHardRef(icu_72::SharedObject const*) const
     0.03%  countwords_par_  libicuuc.so.72.1           [.] memset@plt
     0.03%  countwords_par_  libicuuc.so.72.1           [.] strchr@plt
     0.03%  countwords_par_  libicuuc.so.72.1           [.] strncpy@plt
     0.03%  countwords_par_  libicuuc.so.72.1           [.] udata_close_72
     0.03%  countwords_par_  libicuuc.so.72.1           [.] uprv_toupper_72
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010cf68
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010d00d
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000010d3a0
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fc80
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fc90
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fca9
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fcbd
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fcbf
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fccd
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fcd3
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000012fd08
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000131720
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x000000000013177b
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x00000000001364c0
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000136689
     0.03%  countwords_par_  libicuuc.so.72.1           [.] 0x0000000000157740
     0.03%  countwords_par_  libstdc++.so.6.0.32        [.] __cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
     0.03%  countwords_par_  libstdc++.so.6.0.32        [.] operator delete(void*)
     0.03%  countwords_par_  libstdc++.so.6.0.32        [.] std::locale::facet::_S_get_c_locale()
     0.02%  countwords_par_  [kernel.kallsyms]          [k] ___slab_alloc
     0.02%  countwords_par_  [kernel.kallsyms]          [k] __check_object_size
     0.02%  countwords_par_  [kernel.kallsyms]          [k] __handle_mm_fault
     0.02%  countwords_par_  [kernel.kallsyms]          [k] __put_user_8
     0.02%  countwords_par_  [kernel.kallsyms]          [k] __schedule
     0.02%  countwords_par_  [kernel.kallsyms]          [k] __x86_indirect_thunk_rax
     0.02%  countwords_par_  [kernel.kallsyms]          [k] _find_next_zero_bit
     0.02%  countwords_par_  [kernel.kallsyms]          [k] alloc_pages
     0.02%  countwords_par_  [kernel.kallsyms]          [k] apparmor_file_permission
     0.02%  countwords_par_  [kernel.kallsyms]          [k] apparmor_inode_getattr
     0.02%  countwords_par_  [kernel.kallsyms]          [k] begin_current_label_crit_section
     0.02%  countwords_par_  [kernel.kallsyms]          [k] build_open_flags
     0.02%  countwords_par_  [kernel.kallsyms]          [k] cache_from_obj
     0.02%  countwords_par_  [kernel.kallsyms]          [k] check_heap_object
     0.02%  countwords_par_  [kernel.kallsyms]          [k] copy_page_to_iter
     0.02%  countwords_par_  [kernel.kallsyms]          [k] do_dentry_open
     0.02%  countwords_par_  [kernel.kallsyms]          [k] do_filp_open
     0.02%  countwords_par_  [kernel.kallsyms]          [k] filename_lookup
     0.02%  countwords_par_  [kernel.kallsyms]          [k] folio_mark_accessed
     0.02%  countwords_par_  [kernel.kallsyms]          [k] mntput_no_expire
     0.02%  countwords_par_  [kernel.kallsyms]          [k] mtree_range_walk
     0.02%  countwords_par_  [kernel.kallsyms]          [k] path_init
     0.02%  countwords_par_  [kernel.kallsyms]          [k] psi_memstall_enter
     0.02%  countwords_par_  [kernel.kallsyms]          [k] step_into
     0.02%  countwords_par_  [kernel.kallsyms]          [k] xas_descend
     0.02%  countwords_par_  countwords_par_proftools   [.] dictionary_filler(tbb::detail::d2::concurrent_queue<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, tbb::detail::d1::cache_aligned_allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&, tbb::detail::d2::concurrent_queue<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > > > >&)
     0.02%  countwords_par_  countwords_par_proftools   [.] file_filler(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, tbb::detail::d2::concurrent_queue<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> >&, tbb::detail::d2::concurrent_queue<std::filesystem::__cxx11::directory_entry, tbb::detail::d1::cache_aligned_allocator<std::filesystem::__cxx11::directory_entry> >&, unsigned long&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > > const&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&, std::chrono::time_point<std::chrono::_V2::system_clock, std::chrono::duration<long, std::ratio<1l, 1000000000l> > >&, std::chrono::duration<long, std::ratio<1l, 1000000000l> >&)
     0.02%  countwords_par_  countwords_par_proftools   [.] merger(tbb::detail::d2::concurrent_queue<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >, tbb::detail::d1::cache_aligned_allocator<tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > > > >&, tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >&, std::mutex&)
     0.02%  countwords_par_  countwords_par_proftools   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
     0.02%  countwords_par_  countwords_par_proftools   [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::substr(unsigned long, unsigned long) const
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e4bf
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e540
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e551
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000002e58c
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034f23
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000034f2e
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x0000000000053510
     0.02%  countwords_par_  libboost_locale.so.1.74.0  [.] 0x000000000005be89
     0.02%  countwords_par_  libc.so.6                  [.] __close_nocancel
     0.02%  countwords_par_  libc.so.6                  [.] __gconv_transform_ascii_internal
     0.02%  countwords_par_  libc.so.6                  [.] __mbrtowc
     0.02%  countwords_par_  libc.so.6                  [.] __memmove_chk_avx_unaligned_erms
     0.02%  countwords_par_  libc.so.6                  [.] __offtime
     0.02%  countwords_par_  libc.so.6                  [.] pthread_once@GLIBC_2.2.5
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::BasicTimeZone::BasicTimeZone(icu_72::BasicTimeZone const&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::CurrencyUnit::operator=(icu_72::CurrencyUnit const&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormat::createDateTimeInstance(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormat::~DateFormat()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DateFormatSymbols::disposeZoneStrings()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::DecimalFormat::touchNoError()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::Locale::Locale(icu_72::Locale const&)@plt
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::Locale::operator=(icu_72::Locale const&)@plt
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::LocaleBased::setLocaleIDs(char const*, char const*)@plt
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::OlsonTimeZone::~OlsonTimeZone()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::freeFastNumberFormatters()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::initNumberFormatters(icu_72::Locale const&, UErrorCode&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::initializeCalendar(icu_72::TimeZone*, icu_72::Locale const&, UErrorCode&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::SimpleDateFormat::~SimpleDateFormat()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::TimeZone::TimeZone(icu_72::TimeZone const&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::TimeZone::forLocaleOrDefault(icu_72::Locale const&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::TimeZone::~TimeZone()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UMemory::operator new(unsigned long)@plt
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UnicodeString::UnicodeString(icu_72::UnicodeString const&)@plt
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::UnicodeString::operator=(icu_72::UnicodeString const&)@plt
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::IntegerWidth::IntegerWidth(short, short, bool)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::LocalizedNumberFormatter::resetCompiled()
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::Scale::Scale(icu_72::number::Scale&&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::Scale::operator=(icu_72::number::Scale&&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] icu_72::number::impl::SymbolsWrapper::doCopyFrom(icu_72::number::impl::SymbolsWrapper const&)
     0.02%  countwords_par_  libicui18n.so.72.1         [.] uprv_min_72@plt
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000112dac
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000001163b4
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000001163bc
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x0000000000151acb
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000001613f5
     0.02%  countwords_par_  libicui18n.so.72.1         [.] 0x00000000001613fe
