Threads,Function,Average Time
1,1,196.47
2,1,112.63
3,1,72.79
4,1,52.73
5,1,49.23
6,1,42.77
7,1,36.71
8,1,33.47
9,1,34.79
10,1,33.96
11,1,32.62
12,1,33.11
13,1,33.4
14,1,29.29
15,1,30.67
16,1,32.7
100,1,53.48
1000,1,87.03
