# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 16K of event 'cpu-clock:ppp'
# Event count (approx.): 4119250000
#
# Overhead  Command          Shared Object                       Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............  ..................................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnifiedCache::removeHardRef(icu_72::SharedObject const*) const
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::ucache_hashKeys_72(UElement)
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] locale_getKeywordsStart_72
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] res_getArrayItem_72
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] strcmp@plt
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] ucln_common_registerCleanup_72
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] uloc_getBaseName_72
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] ures_open_72
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000010a910
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fca9
     0.05%  countwords_par_  [kernel.kallsyms]                   [k] generic_permission
     0.05%  countwords_par_  countwords_par_tbb                  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
     0.05%  countwords_par_  libc.so.6                           [.] memcpy@@GLIBC_2.14@plt
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::clone() const
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::~DecimalFormat()
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::defaultCenturyStart() const
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::OlsonTimeZone::~OlsonTimeZone()
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000151ae1
     0.05%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d1050
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::CheckedArrayByteSink::Append(char const*, int)
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::initBaseName(UErrorCode&)
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::operator+(icu_72::UnicodeString const&, icu_72::UnicodeString const&)
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] ures_getLocaleByType_72
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fcbf
     0.05%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fd00
     0.05%  countwords_par_  libstdc++.so.6.0.32                 [.] operator delete(void*, unsigned long)
     0.05%  countwords_par_  libstdc++.so.6.0.32                 [.] std::filesystem::__cxx11::path::_List::_List(std::filesystem::__cxx11::path::_List const&)
     0.05%  countwords_par_  libstdc++.so.6.0.32                 [.] std::locale::~locale()
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] apparmor_inode_getattr
     0.04%  countwords_par_  countwords_par_tbb                  [.] read_files(std::pair<std::filesystem::__cxx11::directory_entry, bool>&)
     0.04%  countwords_par_  countwords_par_tbb                  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
     0.04%  countwords_par_  libc.so.6                           [.] __GI___fcntl64_nocancel
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormatSymbols::getLocale(ULocDataLocaleType, UErrorCode&) const
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::clone() const
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::OlsonTimeZone::clone() const
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::OlsonTimeZone::deleteTransitionRules()
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::initFastNumberFormatters(UErrorCode&)
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UObject::~UObject()@plt
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::SymbolsWrapper::setTo(icu_72::DecimalFormatSymbols const&)
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::CharString::extract(char*, int, UErrorCode&) const
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::CheckedArrayByteSink::~CheckedArrayByteSink()
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::hashCode() const
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000105540
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000010a946
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fc20
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000131720
     0.04%  countwords_par_  libstdc++.so.6.0.32                 [.] std::filesystem::__cxx11::path::_M_split_cmpts()
     0.04%  countwords_par_  libstdc++.so.6.0.32                 [.] std::locale::id::_M_id() const
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] __check_heap_object
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] __schedule
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] __virt_addr_valid
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] copy_from_kernel_nofault
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] inode_permission
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] path_init
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] prepend_copy
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] security_inode_permission
     0.04%  countwords_par_  [kernel.kallsyms]                   [k] strncpy_from_user
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Calendar::~Calendar()
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::CurrencyUnit::CurrencyUnit()
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormat::DateFormat()
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::getType() const
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Locale::operator=(icu_72::Locale const&)@plt
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::initNumberFormatters(icu_72::Locale const&, UErrorCode&)
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::~SimpleDateFormat()
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::TimeZone::forLocaleOrDefault(icu_72::Locale const&)
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UMemory::operator delete(void*)@plt
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UMemory::operator new[](unsigned long)@plt
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UnicodeString::operator=(icu_72::UnicodeString const&)@plt
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::LocalizedNumberFormatter::resetCompiled()
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::DecimalFormatProperties::DecimalFormatProperties()
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001163bc
     0.04%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000151ae6
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::Locale(icu_72::Locale&&)
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::Locale::getKeywordValue(char const*, char*, int, UErrorCode&) const
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::LocaleBased::getLocale(ULocDataLocaleType, UErrorCode&) const
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::LocaleBased::setLocaleIDs(icu_72::Locale const&, icu_72::Locale const&)
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::SimpleFormatter::format(char16_t const*, int, icu_72::UnicodeString const* const*, icu_72::UnicodeString&, icu_72::UnicodeString const*, signed char, int*, int, UErrorCode&)
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::operator=(icu_72::UnicodeString&&)
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::setCharAt(int, char16_t)
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] malloc@plt
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] memmove@plt
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] u_strncpy_72
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] uprv_add32_overflow_72
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] ures_getStringByIndex_72
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fc7b
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000013157d
     0.04%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000136649
     0.04%  countwords_par_  libstdc++.so.6.0.32                 [.] __cxxabiv1::__vmi_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
     0.04%  countwords_par_  libstdc++.so.6.0.32                 [.] operator new(unsigned long)
     0.04%  countwords_par_  libstdc++.so.6.0.32                 [.] std::_V2::system_category()
     0.04%  countwords_par_  libtbb.so.12.9                      [.] tbb::detail::r1::deallocate_memory(void*)
     0.03%  countwords_par_  [kernel.kallsyms]                   [k] __do_sys_newfstatat
     0.03%  countwords_par_  [kernel.kallsyms]                   [k] aa_audit_file
     0.03%  countwords_par_  [kernel.kallsyms]                   [k] do_isofs_readdir
     0.03%  countwords_par_  [kernel.kallsyms]                   [k] fput
     0.03%  countwords_par_  [kernel.kallsyms]                   [k] security_inode_getattr
     0.03%  countwords_par_  ld-linux-x86-64.so.2                [.] do_lookup_x
     0.03%  countwords_par_  libboost_locale.so.1.74.0           [.] operator new(unsigned long)@plt
     0.03%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005bd66
     0.03%  countwords_par_  libc.so.6                           [.] __libc_calloc
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Calendar::adoptTimeZone(icu_72::TimeZone*)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::CurrencyUnit::~CurrencyUnit()
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormatSymbols::createForLocale(icu_72::Locale const&, UErrorCode&)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::toNumberFormatter(UErrorCode&) const
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::haveDefaultCentury() const
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::createInstance(icu_72::Locale const&, UErrorCode&)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::operator=(icu_72::NumberFormat const&)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::setCurrency(char16_t const*, UErrorCode&)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::setMinimumFractionDigits(int)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::initializeDefaultCentury()
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::TimeZone::TimeZone(icu_72::TimeZone const&)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::TimeZone::createDefault()
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UMemory::operator new(unsigned long)@plt
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::Precision::constructFraction(int, int)
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000112dac
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000151ada
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000151af2
     0.03%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001d1133
     0.03%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::SimpleFormatter::formatAndAppend(icu_72::UnicodeString const* const*, int, icu_72::UnicodeString&, int*, int, UErrorCode&) const
     0.03%  countwords_par_  libicuuc.so.72.1                    [.] locale_get_default_72
     0.03%  countwords_par_  libicuuc.so.72.1                    [.] uprv_max_72
     0.03%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000010a92b
     0.03%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fbd0
     0.03%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fcc6
     0.03%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000136482
     0.03%  countwords_par_  libstdc++.so.6.0.32                 [.] std::basic_filebuf<char, std::char_traits<char> >::basic_filebuf()
     0.03%  countwords_par_  libstdc++.so.6.0.32                 [.] std::filesystem::symlink_status(std::filesystem::__cxx11::path const&, std::error_code&)
     0.03%  countwords_par_  libstdc++.so.6.0.32                 [.] std::locale::locale(std::locale const&)
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __rcu_read_lock
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] aa_path_name
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] copyout
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] folio_mark_accessed
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] getname_flags.part.0
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] lookup_fast
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] memcg_slab_post_alloc_hook
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] mntput
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] our_mnt
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] prepend
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] rcu_cblist_dequeue
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] rseq_update_cpu_node_id
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] security_file_alloc
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] xas_start
     0.02%  countwords_par_  countwords_par_tbb                  [.] bool std::operator==<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.02%  countwords_par_  countwords_par_tbb                  [.] count_words(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.02%  countwords_par_  countwords_par_tbb                  [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_mutate(unsigned long, unsigned long, char const*, unsigned long)
     0.02%  countwords_par_  countwords_par_tbb                  [.] std::filesystem::__cxx11::path::~path()
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] boost::locale::localization_backend_manager::create() const
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000062701
     0.02%  countwords_par_  libboost_thread.so.1.74.0           [.] boost::detail::set_tss_data(void const*, void (*)(void (*)(void*), void*), void (*)(void*), void*, bool)
     0.02%  countwords_par_  libc.so.6                           [.] __close_nocancel
     0.02%  countwords_par_  libc.so.6                           [.] __memchr_avx2
     0.02%  countwords_par_  libc.so.6                           [.] __offtime
     0.02%  countwords_par_  libc.so.6                           [.] malloc_consolidate
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] __strcpy_chk@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::CurrencyUnit::CurrencyUnit(icu_72::CurrencyUnit const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormat::createDateTimeInstance(icu_72::DateFormat::EStyle, icu_72::DateFormat::EStyle, icu_72::Locale const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormat::~DateFormat()
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormatSymbols::DateFormatSymbols(icu_72::DateFormatSymbols const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DateFormatSymbols::~DateFormatSymbols()
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::GregorianCalendar(icu_72::GregorianCalendar const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::GregorianCalendar::defaultCenturyStartYear() const
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Locale::operator==(icu_72::Locale const&) const@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::initializeBooleanAttributes()
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::SimpleDateFormat::initializeCalendar(icu_72::TimeZone*, icu_72::Locale const&, UErrorCode&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::StringPiece::compare(icu_72::StringPiece)@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::Scale::Scale(icu_72::number::Scale const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] u_asciiToUpper_72@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] uprv_isInvariantUString_72@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] uprv_min_72@plt
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::LocaleBased::getLocaleID(ULocDataLocaleType, UErrorCode&) const
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::SimpleFormatter::format(icu_72::UnicodeString const&, icu_72::UnicodeString const&, icu_72::UnicodeString&, UErrorCode&) const
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::UnicodeString(signed char, icu_72::ConstChar16Ptr, int)
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::addRef()
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::doAppend(icu_72::UnicodeString const&, int, int)
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] icu_72::UnicodeString::setTo(signed char, icu_72::ConstChar16Ptr, int)
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] pthread_mutex_lock@plt
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] strcpy@plt
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] uprv_getRawUTCtime_72
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000105479
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000010555c
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000105561
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000010a918
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000010a973
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000010ce62
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fc90
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x000000000012fcf7
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000131729
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000131795
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x0000000000136545
     0.02%  countwords_par_  libicuuc.so.72.1                    [.] 0x00000000001366a9
     0.02%  countwords_par_  libstdc++.so.6.0.32                 [.] __cxxabiv1::__si_class_type_info::__do_dyncast(long, __cxxabiv1::__class_type_info::__sub_kind, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info const*, void const*, __cxxabiv1::__class_type_info::__dyncast_result&) const
     0.02%  countwords_par_  libstdc++.so.6.0.32                 [.] operator delete(void*)
     0.02%  countwords_par_  libstdc++.so.6.0.32                 [.] operator delete(void*)@plt
     0.02%  countwords_par_  libstdc++.so.6.0.32                 [.] std::filesystem::__cxx11::path::_List::_Impl_deleter::operator()(std::filesystem::__cxx11::path::_List::_Impl*) const
     0.02%  countwords_par_  libstdc++.so.6.0.32                 [.] std::filesystem::__cxx11::path::_M_append(std::basic_string_view<char, std::char_traits<char> >)
     0.02%  countwords_par_  libtbb.so.12.9                      [.] tbb::detail::r1::allocate_memory(unsigned long)
     0.02%  countwords_par_  libtbb.so.12.9                      [.] 0x0000000000027c97
     0.02%  countwords_par_  libtbbmalloc.so.2.9                 [.] 0x0000000000011740
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] ___slab_alloc
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __aa_path_perm
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __call_rcu_common.constprop.0
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __get_obj_cgroup_from_memcg
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __get_user_8
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __legitimize_mnt
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __lookup_mnt
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] __x64_sys_newfstatat
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] _copy_to_iter
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] _raw_spin_unlock_irq
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] aa_get_buffer
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] aa_path_perm
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] aa_put_buffer
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] apparmor_file_free_security
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] clear_page_orig
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] copy_page_to_iter
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] cp_new_stat
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] d_namespace_path.constprop.0
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] ext4_file_getattr
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] is_vmalloc_addr
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] kfree
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] ksys_lseek
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] putname
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] security_file_permission
     0.02%  countwords_par_  [kernel.kallsyms]                   [k] set_root
     0.02%  countwords_par_  countwords_par_tbb                  [.] find_files(tbb::detail::d1::flow_control&, std::filesystem::__cxx11::recursive_directory_iterator&, std::filesystem::__cxx11::recursive_directory_iterator&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&, std::vector<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::allocator<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > > >&, unsigned long&)
     0.02%  countwords_par_  countwords_par_tbb                  [.] tbb::detail::d1::concrete_filter<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, tbb::detail::d1::concurrent_unordered_map<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, unsigned long, std::hash<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::equal_to<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, tbb::detail::d1::tbb_allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, unsigned long> > >, main::{lambda(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >)#1}>::operator()(void*)
     0.02%  countwords_par_  libarchive.so.13.6.2                [.] archive_entry_clear
     0.02%  countwords_par_  libarchive.so.13.6.2                [.] archive_entry_copy_mac_metadata
     0.02%  countwords_par_  libarchive.so.13.6.2                [.] archive_entry_pathname_w
     0.02%  countwords_par_  libarchive.so.13.6.2                [.] archive_read_support_format_zip
     0.02%  countwords_par_  libarchive.so.13.6.2                [.] 0x0000000000029060
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] boost::locale::generator::generate(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] boost::locale::generator::generate(std::locale const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] boost::locale::util::create_info(std::locale const&, std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] icu_72::Locale::~Locale()@plt
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000034680
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x0000000000036f29
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x00000000000394ce
     0.02%  countwords_par_  libboost_locale.so.1.74.0           [.] 0x000000000005bd4b
     0.02%  countwords_par_  libc.so.6                           [.] __GI___getdents64
     0.02%  countwords_par_  libc.so.6                           [.] __GI___pthread_self
     0.02%  countwords_par_  libc.so.6                           [.] __GI___readdir64
     0.02%  countwords_par_  libc.so.6                           [.] __close
     0.02%  countwords_par_  libc.so.6                           [.] __fcntl64_nocancel_adjusted
     0.02%  countwords_par_  libc.so.6                           [.] __libc_fcntl64
     0.02%  countwords_par_  libc.so.6                           [.] __memcmp_avx2_movbe
     0.02%  countwords_par_  libc.so.6                           [.] clock_gettime@@GLIBC_2.17
     0.02%  countwords_par_  libc.so.6                           [.] mktime
     0.02%  countwords_par_  libc.so.6                           [.] pthread_getspecific@@GLIBC_2.34
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::BasicTimeZone::BasicTimeZone(icu_72::BasicTimeZone const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::BasicTimeZone::~BasicTimeZone()
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::DecimalFormat::setGroupingUsed(signed char)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Format::Format(icu_72::Format const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Format::operator=(icu_72::Format const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::Locale::Locale()@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::NumberFormat::setParseIntegerOnly(signed char)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::StringPiece::StringPiece(char const*)@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::UnicodeString::operator=(icu_72::UnicodeString&&)@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::UnlocalizedNumberFormatter::locale(icu_72::Locale const&) &&
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::Grouper::forStrategy(UNumberGroupingStrategy)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] icu_72::number::impl::SymbolsWrapper::SymbolsWrapper(icu_72::number::impl::SymbolsWrapper const&)
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] strcpy@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] ures_getLocaleByType_72@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] ures_getSize_72@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] ustr_hashCharsN_72@plt
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001163b0
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] 0x0000000000160680
     0.02%  countwords_par_  libicui18n.so.72.1                  [.] 0x00000000001613f5
